iter	Passed	Remaining
0	2	238
1	4	208
2	6	205
3	8	194
4	10	191
5	11	187
6	14	186
7	16	187
8	18	184
9	20	180
10	21	177
11	23	174
12	25	172
13	27	169
14	29	167
15	31	163
16	32	159
17	34	155
18	35	152
19	36	147
20	38	143
21	39	140
22	40	136
23	41	132
24	43	129
25	44	125
26	45	122
27	46	119
28	47	116
29	48	113
30	49	110
31	50	107
32	51	104
33	52	102
34	53	99
35	54	96
36	55	94
37	56	92
38	58	90
39	59	88
40	60	86
41	60	83
42	61	81
43	62	79
44	63	78
45	64	76
46	66	74
47	67	72
48	68	71
49	69	69
50	70	67
51	71	66
52	72	64
53	74	63
54	74	61
55	76	59
56	77	58
57	78	56
58	79	55
59	80	53
60	81	52
61	82	50
62	83	49
63	84	47
64	85	46
65	87	44
66	88	43
67	89	42
68	90	40
69	91	39
70	92	37
71	99	38
72	100	37
73	101	35
74	102	34
75	102	32
76	104	31
77	104	29
78	105	28
79	106	26
80	107	25
81	108	23
82	109	22
83	110	21
84	111	19
85	113	18
86	114	17
87	115	15
88	116	14
89	117	13
90	118	11
91	119	10
92	120	9
93	120	7
94	121	6
95	122	5
96	123	3
97	124	2
98	125	1
99	126	0
